name,from,to,rating,Tv/Movie,Country Name,Time Duration,Genre,votes,reviews,Meta Score,Certificate,critics,creators,stars
The Hunt,(202,None,6.4,TV,USA,1h 30min,horror,"38,165",575,50,None,197,Craig Zobel  ,Nick Cuse  
What We Do in the Shadows,2019,None,8.4,TV,USA,30min,horror,"24,809",239,None,TV-MA,24,Jemaine Clement  ,Kayvan Novak  Matt Berry  Natasia Demetriou  
Stranger Things,2016,None,8.8,TV,USA,51min,horror,"744,876","2,149",None,TV-14,323,Matt Duffer  Ross Duffer  ,Millie Bobby Brown  Finn Wolfhard  Winona Ryder  
The Invisible Man,2020,None,7.1,Movie,Australia,2h 4min,horror,"105,814","1,263",72,None,372,Leigh Whannell  ,Leigh Whannell  
Becky,(202,None,5.7,TV,USA,1h 33min,horror,"1,839",94,53,None,64,Jonathan Milott  Cary Murnion  ,Nick Morris  Ruckus Skye  
American Horror Story,2011,None,8.0,TV,USA,1h,horror,"266,188",698,None,TV-MA,194,Brad Falchuk  Ryan Murphy  ,Lady Gaga  Kathy Bates  Angela Bassett  
Betaal,2020,None,5.3,TV,India,None,horror,"6,543",562,None,TV-MA,16,Viineet Kumar  Aahana Kumra  Suchitra Pillai  See full cast & crew  ,N  o  n  e  
The Vampire Diaries,2009,2017,7.7,TV,USA,43min,horror,"272,045",495,None,TV-14,59,Julie Plec  Kevin Williamson  ,Nina Dobrev  Paul Wesley  Ian Somerhalder  
Ready or Not,2019,None,6.8,Movie,USA,1h 35min,horror,"84,250",829,64,None,325,Matt Bettinelli-Olpin  Tyler Gillett  ,Guy Busick  
Penny Dreadful: City of Angels,2020,None,6.0,TV,USA,None,horror,"3,379",225,None,TV-14,8,John Logan  ,Natalie Dormer  Daniel Zovatto  Kerry Bishé  
Midsommar,2019,None,7.1,Movie,USA,2h 28min,horror,"158,904","2,513",72,None,379,Ari Aster  ,
Attack on Titan,2013,None,8.8,TV,Japan,24min,horror,"141,410",492,None,TV-MA,46,Marina Inoue  Yûki Kaji  Yui Ishikawa  See full cast & crew  ,N  o  n  e  
I See You,(201,None,6.8,TV,USA,1h 38min,horror,"13,526",312,65,None,64,Adam Randall  ,
Lovecraft Country,2020,None,None,TV,USA,1h,horror,None ,3,None,None,,Misha Green  Jordan Peele  ,Abbey Lee  Chase Brown  Aunjanue Ellis  
